_,_,util
46,1162,56.74
47,1232,60.16
48,1261,61.57
49,1377,67.24
50,1363,66.55
51,0,0.00
52,0,0.00
53,0,0.00
46,1071,52.29
47,1150,56.15
48,1139,55.62
49,1251,61.08
50,1215,59.33
51,1267,61.87
52,0,0.00
53,0,0.00
54,0,0.00
48,1130,55.18
49,1242,60.64
50,1206,58.89
51,1259,61.47
52,0,0.00
53,0,0.00
54,0,0.00
55,0,0.00
50,1188,58.01
51,1240,60.55
52,0,0.00
53,0,0.00
54,0,0.00
55,0,0.00
56,0,0.00
52,0,0.00
53,0,0.00
54,0,0.00
55,0,0.00
56,0,0.00
57,0,0.00
58,0,0.00
52,1443,70.46
53,0,0.00
54,0,0.00
55,0,0.00
56,0,0.00
57,0,0.00
58,0,0.00
52,1351,65.97
53,0,0.00
54,0,0.00
55,0,0.00
56,0,0.00
57,0,0.00
58,0,0.00
52,1225,59.81
53,1419,69.29
54,1473,71.92
55,1347,65.77
56,1589,77.59
57,0,0.00
58,0,0.00
59,0,0.00
52,1045,51.03
53,1312,64.06
54,1337,65.28
55,1229,60.01
56,1418,69.24
57,0,0.00
58,0,0.00
59,0,0.00
52,973,47.51
53,1195,58.35
54,1211,59.13
55,1067,52.10
56,1309,63.92
57,1249,60.99
58,0,0.00
59,0,0.00
60,0,0.00
54,1193,58.25
55,1067,52.10
56,1300,63.48
57,1235,60.30
58,0,0.00
59,0,0.00
60,0,0.00
61,0,0.00
56,1273,62.16
57,1233,60.21
58,0,0.00
59,0,0.00
60,0,0.00
61,0,0.00
62,0,0.00
0,0,0.00
1,0,0.00
58,0,0.00
59,0,0.00
60,0,0.00
61,0,0.00
62,0,0.00
0,0,0.00
1,0,0.00
58,0,0.00
59,0,0.00
60,0,0.00
61,0,0.00
62,0,0.00
0,0,0.00
1,0,0.00
2,0,0.00
58,1041,50.83
59,1387,67.72
60,1513,73.88
61,1490,72.75
62,1499,73.19
0,0,0.00
1,0,0.00
2,0,0.00
58,909,44.38
59,1339,65.38
60,1328,64.84
61,1332,65.04
62,1337,65.28
0,1200,58.59
1,0,0.00
2,0,0.00
3,0,0.00
58,873,42.63
59,1168,57.03
60,1224,59.77
61,1233,60.21
62,1185,57.86
