_,_,util
56,0,0.00
57,0,0.00
50,1045,51.03
51,1321,64.50
52,1109,54.15
53,1120,54.69
54,1292,63.09
55,1222,59.67
56,0,0.00
57,0,0.00
58,0,0.00
52,1099,53.66
53,1118,54.59
54,1289,62.94
55,1193,58.25
56,0,0.00
57,0,0.00
58,0,0.00
59,0,0.00
54,1280,62.50
55,1189,58.06
56,0,0.00
57,0,0.00
58,0,0.00
59,0,0.00
60,0,0.00
56,0,0.00
57,0,0.00
58,0,0.00
59,0,0.00
60,0,0.00
61,0,0.00
62,0,0.00
56,1489,72.71
57,0,0.00
58,0,0.00
59,0,0.00
60,0,0.00
61,0,0.00
62,0,0.00
56,1346,65.72
57,0,0.00
58,0,0.00
59,0,0.00
60,0,0.00
61,0,0.00
62,0,0.00
0,0,0.00
56,1193,58.25
57,0,0.00
58,0,0.00
59,0,0.00
60,0,0.00
61,0,0.00
62,0,0.00
0,0,0.00
1,0,0.00
57,0,0.00
58,0,0.00
59,0,0.00
60,0,0.00
61,0,0.00
62,0,0.00
0,0,0.00
1,0,0.00
57,1435,70.07
58,1343,65.58
59,1365,66.65
60,1636,79.88
61,1422,69.43
62,1923,93.90
0,0,0.00
1,0,0.00
2,0,0.00
59,1272,62.11
60,1573,76.81
61,1369,66.85
62,1806,88.18
0,0,0.00
1,0,0.00
2,0,0.00
3,0,0.00
4,0,0.00
61,1314,64.16
62,1758,85.84
0,0,0.00
1,0,0.00
2,0,0.00
3,0,0.00
4,0,0.00
61,1314,64.16
62,1758,85.84
0,0,0.00
1,0,0.00
2,0,0.00
3,0,0.00
4,0,0.00
61,1170,57.13
62,1522,74.32
0,1418,69.24
1,1429,69.78
2,1643,80.22
3,0,0.00
4,0,0.00
5,0,0.00
61,1098,53.61
62,1306,63.77
0,1300,63.48
1,1276,62.30
2,1472,71.88
3,0,0.00
4,0,0.00
5,0,0.00
61,972,47.46
62,1224,59.77
2,1463,71.44
3,0,0.00
4,0,0.00
5,0,0.00
6,0,0.00
7,0,0.00
61,972,47.46
62,1188,58.01
3,0,0.00
4,0,0.00
5,0,0.00
6,0,0.00
7,0,0.00
8,0,0.00
61,954,46.58
62,1179,57.57
3,1225,59.81
4,0,0.00
5,0,0.00
6,0,0.00
7,0,0.00
8,0,0.00
9,0,0.00
62,1070,52.25
4,0,0.00
5,0,0.00
6,0,0.00
7,0,0.00
8,0,0.00
9,0,0.00
10,0,0.00
4,0,0.00
5,0,0.00
6,0,0.00
7,0,0.00
8,0,0.00
9,0,0.00
10,0,0.00
