timestamp,segnum,nblocks,nliveblocks,util
2025-11-26T23:02:02.903274,2,2048,2048,1.000000
2025-11-26T23:02:02.903274,3,2048,2048,1.000000
2025-11-26T23:02:02.903274,4,2048,2048,1.000000
2025-11-26T23:02:02.903274,5,2048,2048,1.000000
2025-11-26T23:02:02.903274,6,2048,2048,1.000000
2025-11-26T23:02:02.903274,7,2048,2048,1.000000
2025-11-26T23:02:02.903274,8,2048,2048,1.000000
2025-11-26T23:02:02.903274,9,2048,2048,1.000000
2025-11-26T23:02:02.903274,10,2048,2048,1.000000
2025-11-26T23:02:02.903274,11,2048,2048,1.000000
2025-11-26T23:02:02.903274,12,2048,2048,1.000000
2025-11-26T23:02:02.903274,13,2048,2048,1.000000
2025-11-26T23:02:02.903274,14,2048,2048,1.000000
2025-11-26T23:02:02.903274,15,2048,2048,1.000000
2025-11-26T23:02:02.903274,16,2048,2048,1.000000
2025-11-26T23:02:02.903274,17,2048,2048,1.000000
2025-11-26T23:02:02.903274,18,2048,2048,1.000000
2025-11-26T23:02:02.903274,19,2048,2048,1.000000
2025-11-26T23:02:02.903274,20,2048,2048,1.000000
2025-11-26T23:02:02.903274,21,2048,2048,1.000000
2025-11-26T23:02:02.903274,22,2048,2048,1.000000
2025-11-26T23:02:02.903274,23,2048,2048,1.000000
2025-11-26T23:02:02.903274,24,2048,2048,1.000000
2025-11-26T23:02:02.903274,25,2048,2048,1.000000
2025-11-26T23:02:02.903274,26,2048,2048,1.000000
2025-11-26T23:02:02.903274,27,2048,2048,1.000000
2025-11-26T23:02:02.903274,28,2048,2048,1.000000
2025-11-26T23:02:02.903274,29,2048,2048,1.000000
2025-11-26T23:02:02.903274,30,2048,2048,1.000000
2025-11-26T23:02:02.903274,31,2048,2048,1.000000
2025-11-26T23:02:02.903274,32,2048,2048,1.000000
2025-11-26T23:02:02.903274,33,2048,2048,1.000000
2025-11-26T23:02:02.903274,34,2048,2048,1.000000
2025-11-26T23:02:02.903274,35,2048,2048,1.000000
2025-11-26T23:02:02.903274,36,2048,2048,1.000000
2025-11-26T23:02:02.903274,37,2048,2048,1.000000
2025-11-26T23:02:02.903274,38,2048,2048,1.000000
